Metric,Pearson,Spearman,Score
GDP Growth (%),0.9999999999999997,1.0,0.9999999999999997
CPI (Annual %),-0.7999735277916648,-0.055386975116663066,0.7999735277916648
GDP (Billions USD),-0.6402397463309142,-0.01823716631040194,0.6402397463309142
GDP per Capita PPP (Int$),-0.5266228520351313,-0.10334394242561099,0.5266228520351313
10-Year Treasury Yield (%),-0.3158145567168763,-0.13981827504641486,0.3158145567168763
S&P 500 Return (%),-0.26975682806027956,-0.3902439024390244,0.26975682806027956
S&P 500 Close,-0.18021471687720575,0.35258521533443743,0.18021471687720575
Unemployment Rate (%),0.10670949586210135,0.3871951219512196,0.10670949586210135
Budget Deficit (% GDP),0.04951411108033041,0.36474332620803873,0.04951411108033041
"Initial Jobless Claims (Avg Weekly, Thousands)",0.016433029658118718,0.4559291577600484,0.016433029658118718
